date,Title,Artist,변환한이름,Score
2023-12-03,After LIKE,IVE (아이브),아이브,43.0
2023-12-10,After LIKE,IVE (아이브),아이브,40.0
2023-12-17,After LIKE,IVE (아이브),아이브,40.0
2023-12-24,After LIKE,IVE (아이브),아이브,44.0
2023-12-31,After LIKE,IVE (아이브),아이브,45.0
2024-01-07,After LIKE,IVE (아이브),아이브,41.0
2024-01-14,After LIKE,IVE (아이브),아이브,41.0
2024-01-21,After LIKE,IVE (아이브),아이브,38.0
2024-01-28,After LIKE,IVE (아이브),아이브,34.0
2024-02-04,After LIKE,IVE (아이브),아이브,36.0
2024-02-11,After LIKE,IVE (아이브),아이브,35.0
2024-02-18,After LIKE,IVE (아이브),아이브,34.0
2024-02-25,After LIKE,IVE (아이브),아이브,35.0
2024-03-03,After LIKE,IVE (아이브),아이브,32.0
2024-03-10,After LIKE,IVE (아이브),아이브,33.0
2024-03-17,After LIKE,IVE (아이브),아이브,31.0
2024-03-24,After LIKE,IVE (아이브),아이브,28.0
2024-03-31,After LIKE,IVE (아이브),아이브,30.0
2024-04-07,After LIKE,IVE (아이브),아이브,31.0
2024-04-14,After LIKE,IVE (아이브),아이브,32.0
2024-04-21,After LIKE,IVE (아이브),아이브,36.0
2024-04-28,After LIKE,IVE (아이브),아이브,70.0
2024-05-05,After LIKE,IVE (아이브),아이브,52.0
2024-05-12,After LIKE,IVE (아이브),아이브,49.0
2024-05-19,After LIKE,IVE (아이브),아이브,41.0
2024-05-26,After LIKE,IVE (아이브),아이브,41.0
2024-06-02,After LIKE,IVE (아이브),아이브,39.0
2024-06-09,After LIKE,IVE (아이브),아이브,35.0
2024-06-16,After LIKE,IVE (아이브),아이브,34.0
2024-06-23,After LIKE,IVE (아이브),아이브,32.0
2024-06-30,After LIKE,IVE (아이브),아이브,31.0
2024-07-07,After LIKE,IVE (아이브),아이브,31.0
2024-07-14,After LIKE,IVE (아이브),아이브,29.0
2024-07-21,After LIKE,IVE (아이브),아이브,33.0
2024-07-28,After LIKE,IVE (아이브),아이브,32.0
2024-08-04,After LIKE,IVE (아이브),아이브,38.0
2024-08-11,After LIKE,IVE (아이브),아이브,34.0
2024-08-18,After LIKE,IVE (아이브),아이브,28.0
2024-08-25,After LIKE,IVE (아이브),아이브,30.0
2024-09-01,After LIKE,IVE (아이브),아이브,30.0
2024-09-08,After LIKE,IVE (아이브),아이브,29.0
2024-09-15,After LIKE,IVE (아이브),아이브,34.0
2024-09-22,After LIKE,IVE (아이브),아이브,27.0
2023-09-24,Attention,NewJeans,NewJeans,6.0
2023-10-01,Attention,NewJeans,NewJeans,7.0
