date,Rank,Title,Artist,Production
2023-01-08,33,그라데이션,10cm,매직스트로베리사운드
2023-01-08,34,그댄 행복에 살텐데 (2022),최유리,일팔 프로젝트
2023-01-08,35,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),H1GHR MUSIC
2023-01-08,36,취중고백,김민석,프로젝트 리본
2023-01-08,37,내가 아니라도,주호,IN A MILLION
2023-01-08,38,나의 X에게,경서,꿈의엔진
2023-01-08,39,딱 10CM만,"10cm, BIG Naughty (서동현)","MAGIC STRAWBERRY SOUND, H1GHR MUSIC RECORDS"
2023-01-08,40,오르트구름,윤하,C9엔터테인먼트
2023-01-08,41,That`s Hilarious,Charlie Puth,Atlantic Records UK
2023-01-08,42,ELEVEN,IVE (아이브),스타쉽엔터테인먼트
2023-01-08,43,자격지심 (Feat. ZICO),BE`O (비오),"빅플래닛메이드, SWING ENTERTAINMENT, 페임어스 엔터테인먼트"
2023-01-08,44,다정히 내 이름을 부르면,"경서예지, 전건호",에버그로우
2023-01-08,45,첫사랑,백아,Baek A
2023-01-08,46,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,SM Entertainment
2023-01-08,47,보고싶었어,WSG워너비 (4FIRE),MBC
2023-01-08,48,Stay,"The Kid LAROI, Justin Bieber",Columbia
2023-01-08,49,LOVE me,BE`O (비오),"BPM ENTERTAINMENT, SWING ENTERTAINMENT, 페임어스엔터테인먼트"
2023-01-08,50,"눈 (EYE) (Feat. BIG Naughty, 저스디스 (JUSTHIS)) (Prod. R.Tee)",던말릭 (Don Malik),Stone Music Entertainment
2023-01-08,51,눈이 오잖아 (Feat.헤이즈),이무진,쇼플레이
2023-01-08,52,"미운오리새끼 (Feat. 선우정아, BOBBY) (Prod. R.Tee)",허성현 (Huh),Stone Music Entertainment
2023-01-08,53,주저하는 연인들을 위해,잔나비,페포니 뮤직
2023-01-08,54,Snowman,Sia,"Monkey Puzzle, Atlantic"
2023-01-08,55,우리들의 블루스,임영웅,물고기뮤직
2023-01-08,56,밤하늘의 별을(2020),경서,꿈의엔진
2023-01-08,57,우린 그렇게 사랑해서,"강민경, 잔나비","WAKEONE, 페포니뮤직"
2023-01-08,58,떠나보낼 준비해 둘걸 그랬어,임한별,오늘의 선곡
2023-01-08,59,위하여 (We Higher) (Prod. GroovyRoom),"그루비룸 (GroovyRoom), 릴보이 (lIlBOI), Blase (블라세), 노윤하, Polodared, Chillin Homie, Fleeky Bang",Stone Music Entertainment
2023-01-08,60,도깨비불 (Illusion),aespa,SM Entertainment
2023-01-08,61,I Don`t Think That I Like Her,Charlie Puth,Atlantic Records
2023-01-08,62,내 기쁨은 너가 벤틀리를 끄는 거야,김승민,뷰티플노이즈
2023-01-08,63,그 겨울이 잠든 거리에서,"경서예지, 전건호",에버그로우
2023-01-08,64,새벽에 걸려온 너의 전화는,한동근,말하는
2023-01-08,65,아픈 나를,성시경,롱플레이뮤직
2023-01-08,66,FOREVER 1,소녀시대,SM Entertainment
2023-01-08,67,다시 만날 수 있을까,임영웅,물고기뮤직
2023-01-08,68,That That (prod. & feat. SUGA of BTS),싸이 (Psy),피네이션
2023-01-08,69,Unholy,"Sam Smith, Kim Petras",EMI
2023-01-08,70,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),YG Entertainment
2023-01-08,71,Love story,볼빨간사춘기,쇼파르엔터테인먼트
2023-01-08,72,"빡 (Feat. 팔로알토 (Paloalto), 저스디스 (JUSTHIS)) (Prod. R.Tee)",던말릭 (Don Malik),Stone Music Entertainment
2023-01-08,73,Dynamite,방탄소년단,BIGHIT MUSIC
2023-01-08,74,이제 나만 믿어요,임영웅,"TV CHOSUN, 쇼플레이"
2023-01-08,75,Made You Look,Meghan Trainor,Epic
