date,Rank,Title,Artist,Production,Weekly Views,Genre,Runtime
2023-09-24,177,손이 참 곱던 그대,임영웅,물고기뮤직,5430728.0,재즈 / 정통,03:15
2023-09-24,178,Give Love,AKMU (악뮤),YG Entertainment,11929992.0,가요 / 전체,02:57
2023-09-24,179,그런 일은,Paul Blanco,Kakao Entertainment,2255000.0,가요 / R&B/소울,04:27
2023-09-24,180,사랑해 진짜,임영웅,물고기뮤직,5430728.0,가요 / 블루스/포크,03:59
2023-09-24,181,Shape of You,Ed Sheeran,Atlantic Records UK,2031892.0,POP / 팝,03:54
2023-09-24,182,All For You,"정은지, 서인국","젤리피쉬엔터테인먼트, 에이큐브엔터테인먼트",,OST / 드라마,04:08
2023-09-24,183,보금자리,임영웅,물고기뮤직,5430728.0,가요 / 트로트,02:52
2023-09-24,184,연애편지,임영웅,물고기뮤직,5430728.0,가요 / 블루스/포크,03:35
2023-09-24,185,yours,데이먼스 이어 (Damons Year),Akashic Records,,가요 / 인디,02:45
2023-09-24,186,Love Me Like This,NMIXX,JYP Entertainment,1518475.0,가요 / 댄스,03:09
2023-09-24,187,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub),MAKTUB Company,1544701.0,가요 / 인디,04:26
2023-09-24,188,드라마,아이유 (IU),EDAM엔터테인먼트,7814217.0,가요 / 발라드,02:08
2023-09-24,189,One Call Away,Charlie Puth,Artist Partners,3727492.0,POP / 팝,03:14
2023-09-24,190,비도 오고 그래서 (Feat. 신용재),헤이즈 (Heize),Stone Music Entertainment,2095750.0,가요 / 랩/힙합,03:25
2023-09-24,191,내 기쁨은 너가 벤틀리를 끄는 거야,김승민,뷰티플노이즈,1519219.0,가요 / 랩/힙합,03:02
2023-09-24,192,어디에도,엠씨더맥스 (M.C The Max),뮤직앤뉴,2928199.0,가요 / 발라드,05:31
2023-09-24,193,BETELGEUSE,Yuuri,Sony Music Labels Inc.,1581660.0,J-POP / 락,03:50
2023-09-24,194,Celebrity,아이유 (IU),EDAM엔터테인먼트,7814217.0,가요 / 댄스,03:16
2023-09-24,195,마지막처럼,BLACKPINK,YG Entertainment,4668125.0,가요 / 댄스,03:33
2023-09-24,196,Blueming,아이유 (IU),Kakao Entertainment,7814217.0,가요 / 락,03:37
2023-09-24,197,신호등,이무진,쇼플레이,1681594.0,가요 / 락,03:52
